user_id;user_name;employed_at;access_unit;access_type;equipment_class
U1;Alice;A1;A1;N;ALPHA
U1;Alice;A1;A1;N;BETA
U1;Alice;A1;A1;N;GAMMA
U1;Alice;A1;A3;R;DELTA
U2;Bob;A2;A1;R;ALPHA
U2;Bob;A2;A1;R;BETA
U2;Bob;A2;A1;R;GAMMA
U2;Bob;A2;A2;N;BETA
U2;Bob;A2;A2;N;GAMMA
U2;Bob;A2;A4;R;ALPHA
U3;Charlie;A3;A1;R;ALPHA
U3;Charlie;A3;A1;R;BETA
U3;Charlie;A3;A1;R;GAMMA
U3;Charlie;A3;A2;R;BETA
U3;Charlie;A3;A2;R;GAMMA
U3;Charlie;A3;A3;N;DELTA
U4;Diana;A4;A1;R;ALPHA
U4;Diana;A4;A1;R;BETA
U4;Diana;A4;A1;R;GAMMA
U4;Diana;A4;A2;R;BETA
U4;Diana;A4;A2;R;GAMMA
U4;Diana;A4;A4;N;ALPHA
U4;Diana;A4;A5;R;DELTA
U4;Diana;A4;A5;R;GAMMA
U5;Eric;A5;A1;R;ALPHA
U5;Eric;A5;A1;R;BETA
U5;Eric;A5;A1;R;GAMMA
U5;Eric;A5;A2;R;BETA
U5;Eric;A5;A2;R;GAMMA
U5;Eric;A5;A3;R;DELTA
U5;Eric;A5;A4;R;ALPHA
U5;Eric;A5;A5;N;DELTA
U5;Eric;A5;A5;N;GAMMA
U6;James;A1;A1;N;ALPHA
U6;James;A1;A1;N;BETA
U6;James;A1;A1;N;GAMMA
U6;James;A1;A3;R;DELTA
